Player,Try Match 11,Try Match 9,Assist Match 11,Assist Match 9,Breaks Match 11,Breaks Match 9,Metres Match 11,Metres Match 9,Offloads Match 11,Offloads Match 9,Carries Match 11,Carries Match 9,Team,,,,
Matt Currie,1,1,0,0,2,2,44,44,0,0,14,14,Edinburgh,,,,
Nick Auterac,0,0,0,0,0,0,0,0,0,0,1,1,Edinburgh,,,,
Nick Haining,0,0,0,0,0,0,88,88,4,4,58,58,Edinburgh,,,,
Pierce Phillips,0,0,0,0,0,0,0,0,0,0,0,0,Edinburgh,,,,
Pierre Schoeman,2,2,0,0,1,1,39,35,0,0,49,41,Edinburgh,,,,
Roan Frostwick,0,0,0,0,0,0,0,0,0,0,0,0,Edinburgh,,,,
Rudi Brown,0,0,0,0,0,0,0,0,0,0,0,0,Edinburgh,,,,
Sam Skinner,1,1,0,0,1,1,12,12,2,2,29,26,Edinburgh,,,,
Stuart McInally,0,0,0,0,1,1,56,56,1,1,16,16,Edinburgh,,,,
Tom Cruse,0,0,0,0,0,0,10,2,1,0,6,2,Edinburgh,,,,
Viliame Mata,1,1,0,0,2,1,366,128,5,5,122,93,Edinburgh,,,,
Wes Goosen,1,1,0,0,1,1,134,134,1,1,19,19,Edinburgh,,,,
Willem Nel,1,1,0,0,0,0,34,31,0,0,21,16,Edinburgh,,,,
Alex Samuel,0,0,0,0,1,1,29,29,1,1,16,16,Glasgow Warriors,,,,
Ali Price,0,0,0,0,2,2,65,50,3,3,19,15,Glasgow Warriors,,,,
Allan Dell,0,0,0,0,0,0,0,0,0,0,0,0,Glasgow Warriors,,,,
Ally Miller,0,0,0,0,0,0,0,0,0,0,0,0,Glasgow Warriors,,,,
Cole Forbes,1,1,0,0,4,4,207,207,4,4,34,34,Glasgow Warriors,,,,
Domingo Miotti,1,1,0,0,2,2,20,20,1,1,7,7,Glasgow Warriors,,,,
Duncan Weir,0,0,0,0,0,0,0,0,0,0,0,0,Glasgow Warriors,,,,
Enrique Pieretto Heiland,0,0,0,0,0,0,0,0,0,0,0,0,Glasgow Warriors,,,,
Euan Ferrie,0,0,0,0,1,1,41,41,0,0,4,4,Glasgow Warriors,,,,
Fraser Brown,3,3,0,0,0,0,77,70,5,4,61,47,Glasgow Warriors,,,,
George Horne,3,2,0,0,8,5,234,172,4,4,44,36,Glasgow Warriors,,,,
George Turner,0,0,0,0,0,0,47,42,0,0,28,23,Glasgow Warriors,,,,
Gregor Brown,0,0,0,0,0,0,35,35,2,2,22,22,Glasgow Warriors,,,,
Huw Jones,0,0,0,0,0,0,0,0,0,0,0,0,Glasgow Warriors,,,,
